#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,height[m]
205343300,2021:03:16:09:02:05,3,11.383202,47.3122417,2320705,0,6.0,2320.705
205343400,2021:03:16:09:02:05,3,11.383202,47.3122417,2320695,0,6.0,2320.695
205343500,2021:03:16:09:02:05,3,11.383202,47.3122417,2320718,0,6.0,2320.718
205343600,2021:03:16:09:02:05,3,11.3832019,47.3122418,2320706,1,6.0,2320.706
205343700,2021:03:16:09:02:05,3,11.383202,47.3122418,2320713,1,6.0,2320.713
205343800,2021:03:16:09:02:05,3,11.3832019,47.3122418,2320692,1,6.0,2320.692
205343900,2021:03:16:09:02:05,3,11.3832019,47.3122419,2320700,1,6.0,2320.7
205344000,2021:03:16:09:02:06,3,11.3832018,47.3122418,2320704,1,6.0,2320.704
205344100,2021:03:16:09:02:06,3,11.3832018,47.3122419,2320694,1,6.0,2320.694
205344200,2021:03:16:09:02:06,3,11.3832018,47.3122419,2320692,1,6.0,2320.692
205344300,2021:03:16:09:02:06,3,11.3832018,47.312242,2320701,1,6.0,2320.701
205344400,2021:03:16:09:02:06,3,11.3832018,47.3122421,2320712,1,6.0,2320.712
205344500,2021:03:16:09:02:06,3,11.3832018,47.3122421,2320702,1,6.0,2320.702
205344600,2021:03:16:09:02:06,3,11.3832018,47.3122421,2320714,0,6.0,2320.714
205344700,2021:03:16:09:02:06,3,11.3832017,47.312242,2320707,0,6.0,2320.707
205344800,2021:03:16:09:02:06,3,11.3832017,47.3122422,2320711,0,6.0,2320.711
205344900,2021:03:16:09:02:06,3,11.3832016,47.3122421,2320703,0,6.0,2320.703
205345000,2021:03:16:09:02:07,3,11.3832015,47.3122422,2320695,0,6.0,2320.695
205345100,2021:03:16:09:02:07,3,11.3832016,47.3122422,2320697,0,6.0,2320.697
